DATE|SCRIP CODE|DELIVERY QTY|DELIVERY VAL|DAY'S VOLUME|DAY'S TURNOVER|DELV. PER.
31102025|526662|0000000000001803|0000000000085643|0000000000001803|0000000000085430|100.00
31102025|526666|0000000000000179|0000000000151954|0000000000000261|0000000000220545|068.58
31102025|526668|0000000000002568|0000000000751269|0000000000003980|0000000001176102|064.52
31102025|526677|0000000000003403|0000000000009563|0000000000003405|0000000000009730|099.94
31102025|526703|0000000000000052|0000000000027040|0000000000000054|0000000000028039|096.30
31102025|526705|0000000000000369|0000000000081660|0000000000000419|0000000000092885|088.07
31102025|526709|0000000001319806|0000000023473585|0000000001319806|0000000023473585|100.00
31102025|526711|0000000000000820|0000000000027314|0000000000000820|0000000000027314|100.00
31102025|526717|0000000000069788|0000000011413828|0000000000071271|0000000010781407|097.92
31102025|526721|0000000000001359|0000000000135221|0000000000001672|0000000000167670|081.28
31102025|526723|0000000000001543|0000000000278666|0000000000002576|0000000000470426|059.90
31102025|526725|0000000000000021|0000000000024465|0000000000000023|0000000000026777|091.30
31102025|526727|0000000000010462|0000000000713300|0000000000015259|0000000001036638|068.56
31102025|526729|0000000000003456|0000000001240013|0000000000007091|0000000002556638|048.74
31102025|526731|0000000000001240|0000000000406348|0000000000001472|0000000000477836|084.24
31102025|526739|0000000000001370|0000000000471691|0000000000001696|0000000000580163|080.78
31102025|526747|0000000000003389|0000000000752867|0000000000004050|0000000000896751|083.68
31102025|526751|0000000000000150|0000000000003290|0000000000000150|0000000000003360|100.00
31102025|526755|0000000000000505|0000000000002732|0000000000000505|0000000000002732|100.00
31102025|526761|0000000000000813|0000000000020895|0000000000000833|0000000000021007|097.60
31102025|526775|0000000000006484|0000000005073327|0000000000006484|0000000005073327|100.00
31102025|526783|0000000000000814|0000000004261860|0000000000001769|0000000009512300|046.01
31102025|526795|0000000000001200|0000000000008504|0000000000001200|0000000000008504|100.00
31102025|526797|0000000000002165|0000000000662815|0000000000002672|0000000000813050|081.03
31102025|526807|0000000000000410|0000000000367750|0000000000000691|0000000000611706|059.33
31102025|526813|0000000000002086|0000000000026910|0000000000003085|0000000000040219|067.62
31102025|526817|0000000000000981|0000000001110345|0000000000001030|0000000001178402|095.24
31102025|526821|0000000000000649|0000000000176042|0000000000001066|0000000000286435|060.88
31102025|526827|0000000000008190|0000000000733945|0000000000008190|0000000000733945|100.00
31102025|526829|0000000000020400|0000000000851904|0000000000026517|0000000001116335|076.93
31102025|526839|0000000000000005|0000000000000090|0000000000000005|0000000000000089|100.00
31102025|526841|0000000000001092|0000000000033156|0000000000001092|0000000000033156|100.00
31102025|526847|0000000000002044|0000000000061975|0000000000002506|0000000000076847|081.56
31102025|526849|0000000000002221|0000000000317715|0000000000003647|0000000000530956|060.90
31102025|526853|0000000000015149|0000000001587313|0000000000020852|0000000002194014|072.65
31102025|526859|0000000000005326|0000000000005326|0000000000005327|0000000000005327|099.98
31102025|526861|0000000000003073|0000000000392115|0000000000003124|0000000000403416|098.37
31102025|526865|0000000000003444|0000000000029858|0000000000003444|0000000000029858|100.00
31102025|526871|0000000000001239|0000000000020568|0000000000001270|0000000000021264|097.56
31102025|526873|0000000000001425|0000000000063688|0000000000001425|0000000000063688|100.00
31102025|526877|0000000000000051|0000000000001202|0000000000000051|0000000000001202|100.00
31102025|526881|0000000000001743|0000000001386557|0000000000003808|0000000003030469|045.77
31102025|526885|0000000000002311|0000000000212520|0000000000002559|0000000000235636|090.31
31102025|526891|0000000000000112|0000000000001721|0000000000000112|0000000000001639|100.00
31102025|526899|0000000000092895|0000000001022774|0000000000101228|0000000001125915|091.77
31102025|526901|0000000000000876|0000000000041208|0000000000000930|0000000000044152|094.19
31102025|526905|0000000000000015|0000000000000167|0000000000000015|0000000000000167|100.00
31102025|526921|0000000000000301|0000000000014147|0000000000000302|0000000000014095|099.67
31102025|526931|0000000000001402|0000000000160880|0000000000002156|0000000000249839|065.03
31102025|526935|0000000000494143|0000000043481064|0000000000494143|0000000043481064|100.00
31102025|526945|0000000000001163|0000000000116882|0000000000001913|0000000000191265|060.79
31102025|526947|0000000000000880|0000000000203456|0000000000001004|0000000000231965|087.65
31102025|526951|0000000000001783|0000000003655507|0000000000002261|0000000004654936|078.86
31102025|526953|0000000000000346|0000000000150424|0000000000000470|0000000000205638|073.62
31102025|526961|0000000000102929|0000000001459534|0000000000125187|0000000001790410|082.22
31102025|526965|0000000000006910|0000000000960490|0000000000008978|0000000001266655|076.97
31102025|526967|0000000000008411|0000000000060980|0000000000008411|0000000000061566|100.00
31102025|526971|0000000000001991|0000000000517561|0000000000002502|0000000000647335|079.58
31102025|526981|0000000000002028|0000000000408541|0000000000002618|0000000000525832|077.46
31102025|526987|0000000000078722|0000000001037556|0000000000128337|0000000001696947|061.34
31102025|527001|0000000000016606|0000000011038009|0000000000034687|0000000023223455|047.87
31102025|527005|0000000000005953|0000000001604494|0000000000005953|0000000001604494|100.00
31102025|530001|0000000000000248|0000000000141745|0000000000000549|0000000000313452|045.17
31102025|530005|0000000000009073|0000000003653698|0000000000023629|0000000009563184|038.40
31102025|530007|0000000000087385|0000000037802751|0000000000163656|0000000071733601|053.40
31102025|530017|0000000000001782|0000000000033769|0000000000003013|0000000000057049|059.14
31102025|530019|0000000000011836|0000000012990602|0000000000026928|0000000029840190|043.95
31102025|530023|0000000000000115|0000000000016146|0000000000000115|0000000000016110|100.00
31102025|530025|0000000000006443|0000000000150638|0000000000006625|0000000000149291|097.25
31102025|530027|0000000000000177|0000000000000893|0000000000000177|0000000000000925|100.00
31102025|530043|0000000000000098|0000000000028714|0000000000000164|0000000000047743|059.76
31102025|530045|0000000000004743|0000000000199633|0000000000005699|0000000000238701|083.23
31102025|530053|0000000000016472|0000000000082690|0000000000025399|0000000000127755|064.85
31102025|530057|0000000000016458|0000000000032258|0000000000016458|0000000000032227|100.00
31102025|530063|0000000000000366|0000000000002161|0000000000000366|0000000000002161|100.00
31102025|530065|0000000000000971|0000000000016478|0000000000000986|0000000000016585|098.48
31102025|530067|0000000000000213|0000000000058757|0000000000000356|0000000000099454|059.83
31102025|530073|0000000000008354|0000000003315285|0000000000014830|0000000005893752|056.33
31102025|530075|0000000000000971|0000000000556626|0000000000001540|0000000000880188|063.05
31102025|530077|0000000000028950|0000000004186170|0000000000031110|0000000004538326|093.06
