TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4,SYMBOL,CLOSE,DELIV_PER,DELIVERY_TURNOVER,ATW
2025-11-06,2025-11-06,CM,NSE,STK,2112,INE882A01013,MARALOVER,EQ,,,,,MARAL OVERSEAS LTD,46.4,52.99,46.0,48.91,48.45,45.95,,48.94,,,205603,10347000.58,2711,F1,1,,,,,,MARALOVER,0,0,0,0
2025-11-06,2025-11-06,CM,NSE,STK,18659,INE182D01020,MARATHON,EQ,,,,,MARATHON NXTGEN REALT LTD,600.0,604.45,581.2,582.0,581.65,599.7,,582.0,,,71974,42326646.05,2512,F1,1,,,,,,MARATHON,0,0,0,0
2025-11-06,2025-11-06,CM,NSE,STK,4067,INE196A01026,MARICO,EQ,,,,,MARICO LIMITED,715.0,720.5,711.2,713.15,712.65,717.3,,713.15,,,670236,478874000.6,28518,F1,1,,,,,,MARICO,0,0,0,0
2025-11-06,2025-11-06,CM,NSE,STK,1328,INE01JE01028,MARINE,EQ,,,,,MARINE ELECTRICAL (I) LTD,247.0,247.2,225.9,228.8,228.9,245.7,,228.8,,,895722,208252726.25,11457,F1,1,,,,,,MARINE,0,0,0,0
2025-11-06,2025-11-06,CM,NSE,STK,760204,INE0FW001016,MARKOLINES,EQ,,,,,MARKOLINES PAVEMENT TEC L,165.51,166.0,159.28,161.71,162.45,165.26,,161.7,,,56310,9145855.46,1133,F1,1,,,,,,MARKOLINES,0,0,0,0
2025-11-06,2025-11-06,CM,NSE,STK,10579,INE750C01026,MARKSANS,EQ,,,,,MARKSANS PHARMA LIMITED,193.65,193.65,183.1,184.58,183.99,186.79,,184.6,,,1374466,256863873.88,19903,F1,1,,,,,,MARKSANS,0,0,0,0
2025-11-06,2025-11-06,CM,NSE,STK,10999,INE585B01010,MARUTI,EQ,,,,,MARUTI SUZUKI INDIA LTD.,15534.0,15534.0,15309.0,15452.0,15449.0,15374.0,,15452.2,,,429800,6633579488.0,80278,F1,1,,,,,,MARUTI,0,0,0,0
2025-11-06,2025-11-06,CM,NSE,STK,199,INE348L01012,MASFIN,EQ,,,,,MAS FINANCIAL SERV LTD,316.95,320.2,302.0,304.2,304.0,312.8,,304.2,,,132499,41052604.15,6815,F1,1,,,,,,MASFIN,0,0,0,0
2025-11-06,2025-11-06,CM,NSE,STK,2124,INE759A01021,MASTEK,EQ,,,,,MASTEK LTD,2131.0,2139.6,2100.1,2113.3,2116.0,2138.9,,2113.3,,,68035,143794338.2,14256,F1,1,,,,,,MASTEK,0,0,0,0
2025-11-06,2025-11-06,CM,NSE,STK,27047,INE677D01037,MASTERTR,EQ,,,,,MASTER TRUST LIMITED,130.7,131.1,126.61,128.13,127.0,130.95,,128.15,,,354927,45467869.0,6618,F1,1,,,,,,MASTERTR,0,0,0,0
2025-11-06,2025-11-06,CM,NSE,STK,21726,INE866R01028,MATRIMONY,EQ,,,,,MATRIMONY.COM LIMITED,520.0,521.95,509.0,509.75,509.0,522.8,,509.75,,,3757,1932686.75,259,F1,1,,,,,,MATRIMONY,0,0,0,0
2025-11-06,2025-11-06,CM,NSE,STK,17022,INE636A01039,MAWANASUG,EQ,,,,,MAWANA SUGARS LIMITED,86.65,87.86,85.51,85.96,86.18,87.24,,85.96,,,20518,1769856.89,487,F1,1,,,,,,MAWANASUG,0,0,0,0
2025-11-06,2025-11-06,CM,NSE,STK,19646,INE03EI01018,MAXESTATES,EQ,,,,,MAX ESTATES LIMITED,483.0,484.05,470.1,481.7,481.7,477.0,,481.75,,,61533,29532019.85,2590,F1,1,,,,,,MAXESTATES,0,0,0,0
2025-11-06,2025-11-06,CM,NSE,STK,2142,INE180A01020,MFSL,EQ,,,,,MAX FINANCIAL SERV LTD,1604.8,1612.0,1581.2,1584.2,1581.2,1592.4,,1584.2,,,471640,754835908.9,24590,F1,1,,,,,,MFSL,0,0,0,0
2025-11-06,2025-11-06,CM,NSE,STK,22377,INE027H01010,MAXHEALTH,EQ,,,,,MAX HEALTHCARE INS LTD,1119.1,1146.9,1118.5,1125.4,1128.8,1138.4,,1125.45,,,2545462,2874220015.8,75610,F1,1,,,,,,MAXHEALTH,0,0,0,0
2025-11-06,2025-11-06,CM,NSE,STK,22428,INE0CG601016,MAXIND,EQ,,,,,MAX INDIA LIMITED,214.7,215.95,209.0,210.46,210.5,212.6,,210.45,,,32701,6897301.61,1626,F1,1,,,,,,MAXIND,0,0,0,0
2025-11-06,2025-11-06,CM,NSE,STK,28906,INE040D01038,MAYURUNIQ,EQ,,,,,MAYUR UNIQUOTERS LTD,535.0,544.8,532.55,536.5,539.0,535.6,,536.55,,,77361,41591294.45,3965,F1,1,,,,,,MAYURUNIQ,0,0,0,0
2025-11-06,2025-11-06,CM,NSE,STK,509,INE249Z01020,MAZDOCK,EQ,,,,,MAZAGON DOCK SHIPBUIL LTD,2682.0,2697.3,2618.5,2630.5,2628.0,2683.0,,2630.45,,,885242,2339594717.0,64345,F1,1,,,,,,MAZDOCK,0,0,0,0
2025-11-06,2025-11-06,CM,NSE,STK,18866,INE885E01042,MAZDA,EQ,,,,,MAZDA LIMITED,274.0,274.15,266.0,267.5,266.1,272.85,,267.5,,,10846,2909813.15,513,F1,1,,,,,,MAZDA,0,0,0,0
2025-11-06,2025-11-06,CM,NSE,STK,18029,INE912H01013,MBLINFRA,EQ,,,,,MBL INFRASTRUCTURE LTD,41.02,41.04,40.0,40.37,40.49,41.02,,40.36,,,37231,1502172.36,430,F1,1,,,,,,MBLINFRA,0,0,0,0
2025-11-06,2025-11-06,CM,NSE,STK,21705,INE456Z01021,MEDIASSIST,EQ,,,,,MEDI ASSIST HEALTH SER L,529.0,530.0,504.7,512.55,515.95,556.65,,512.55,,,971904,498858151.95,36380,F1,1,,,,,,MEDIASSIST,0,0,0,0
2025-11-06,2025-11-06,CM,NSE,STK,6278,INE646B01010,MEDICAMEQ,EQ,,,,,MEDICAMEN BIOTECH LIMITED,385.2,404.0,378.4,399.45,401.55,384.5,,399.45,,,133780,52768784.4,3986,F1,1,,,,,,MEDICAMEQ,0,0,0,0
