TradDt,BizDt,Sgmt,Src,FinInstrmTp,SC_CODE,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4,DELIV_PER,DELIV_QTY
2025-11-11,2025-11-11,CM,BSE,STK,533193,INE134B01017,KECL,B,,,,,KIRLOSKAR ELECTRIC COMPANY LTD,112.7,123.7,112.4,117.7,117.7,112.35,,118.1,,,37629,4508742.0,590,F1,1,,,,,,30.33,11414
2025-11-11,2025-11-11,CM,BSE,STK,533202,INE639K01016,SATCH,X,,,,,SATCHMO HOLDINGS LIMITED,4.6,4.62,4.23,4.27,4.24,4.43,,4.27,,,121921,540396.0,209,F1,1,,,,,,79.84,97338
2025-11-11,2025-11-11,CM,BSE,STK,533203,INE747K01017,TARAPUR,T,,,,,TARAPUR TRANSFORMERS LTD,35.0,36.44,34.0,34.18,34.5,35.13,,34.75,,,4362,150942.0,40,F1,1,,,,,,100.0,4362
2025-11-11,2025-11-11,CM,BSE,STK,533206,INE002L01015,SJVN,A,,,,,SJVN LTD,84.2,84.38,81.94,82.29,82.3,84.21,,82.24,,,224983,18622209.0,2852,F1,1,,,,,,61.58,138539
2025-11-11,2025-11-11,CM,BSE,STK,533208,INE830C01026,EMAMIPAP,B,,,,,EMAMI PAPER MILLS LTD.,96.0,96.0,94.35,95.07,95.74,95.51,,95.01,,,909,86152.0,53,F1,1,,,,,,85.59,778
2025-11-11,2025-11-11,CM,BSE,STK,533210,INE798K01010,KRITINUT,B,,,,,KRITI NUTRIENTS LTD,89.8,89.8,86.51,87.52,88.23,87.1,,87.11,,,2640,231539.0,109,F1,1,,,,,,83.26,2198
2025-11-11,2025-11-11,CM,BSE,STK,533212,INE265D01015,GKB,X,,,,,GKB OPHTHALMICS LTD.,62.15,63.9,61.0,61.89,62.13,64.63,,61.89,,,6076,378400.0,88,F1,1,,,,,,59.32,3604
2025-11-11,2025-11-11,CM,BSE,STK,533217,INE871K01015,HMVL,B,,,,,HINDUSTAN MEDIA VENTURES LTD.,74.07,74.14,70.8,71.54,71.8,75.45,,71.28,,,3070,224178.0,203,F1,1,,,,,,89.74,2755
2025-11-11,2025-11-11,CM,BSE,STK,533218,INE778K01012,EMAMIREAL,B,,,,,EMAMI REALTY LIMITED,94.71,94.71,92.36,92.89,92.89,94.71,,93.55,,,885,82063.0,36,F1,1,,,,,,90.73,803
2025-11-11,2025-11-11,CM,BSE,STK,533227,INE926K01017,AHLEAST,B,,,,,ASIAN HOTELS (EAST) LTD.,143.65,143.65,143.65,143.65,143.65,145.0,,145.95,,,1,143.0,1,F1,1,,,,,,100.0,1
