DATE,SYMBOL,ISIN,EXCHANGE,CLOSE,DELIV_PER,DELIVERY_TURNOVER,ATW,DELIV_PER_1W,DELIV_PER_1M,DELIV_PER_3M,DELIVERY_TURNOVER_1W,DELIVERY_TURNOVER_1M,DELIVERY_TURNOVER_3M,ATW_1W,ATW_1M,ATW_3M
2025-09-22,SGBNOV25,IN0020170091,BSE,12128.4,100.0,12128.4,12.128,83.33333333333333,83.33333333333333,83.33333333333333,45078.53333333333,45078.53333333333,45078.53333333333,48.41166666666667,48.41166666666667,48.41166666666667
2025-10-24,SGBNOV258,IN0020170109,BSE,12600.0,100.0,25200.0,25.2,100.0,100.0,100.0,191046.0,191046.0,191046.0,190.99,190.99,190.99
2025-10-16,SGBNOV25IX,IN0020170117,BSE,13596.0,100.0,13596.0,13.596,87.5,87.5,87.5,13169.002499999999,13169.002499999999,13169.002499999999,15.606250000000001,15.606250000000001,15.606250000000001
2025-10-07,SGBDEC25,IN0020170125,BSE,12699.0,100.0,12699.0,12.699,72.22333333333334,72.22333333333334,72.22333333333334,15908.38,15908.38,15908.38,23.401333333333337,23.401333333333337,23.401333333333337
2025-11-13,SGBDEC25XI,IN0020170133,BSE,12734.06,100.0,12734.06,12.734,90.0,91.66666666666667,91.66666666666667,35236.434,32796.695,32796.695,37.4362,34.62983333333333,34.62983333333333
2025-11-11,SGBDEC2512,IN0020170141,BSE,12500.0,100.0,62500.0,62.5,100.0,100.0,100.0,33298.22,31015.183333333334,31015.183333333334,33.098,30.848333333333333,30.848333333333333
2025-11-06,SGBDEC2513,IN0020170158,BSE,12300.0,100.0,61500.0,61.5,100.0,97.77777777777777,97.77777777777777,56112.0,41305.555555555555,41305.555555555555,55.912,42.30033333333333,42.30033333333333
2025-10-10,SGBJAN26,IN0020170166,BSE,13500.0,100.0,13500.0,13.5,75.0,75.0,75.0,66388.0,66388.0,66388.0,125.41300000000001,125.41300000000001,125.41300000000001
2025-11-10,717GS2028,IN0020170174,BSE,103.1,100.0,61860.0,61.86,100.0,100.0,100.0,61860.0,61860.0,61860.0,61.86,61.86,61.86
2025-08-28,SGBMAY26,IN0020180033,BSE,10950.0,100.0,10950.0,10.95,100.0,100.0,100.0,10950.0,10950.0,10950.0,10.95,10.95,10.95
2025-09-03,SGBOCT26,IN0020180249,BSE,11200.0,100.0,123200.0,123.2,75.0,75.0,75.0,211011.35,211011.35,211011.35,216.146,216.146,216.146
2025-10-29,SGBDEC26,IN0020180389,BSE,12731.3,100.0,12731.3,12.731,100.0,100.0,100.0,43314.4,43314.4,43314.4,43.2644,43.2644,43.2644
2025-11-04,SGBFEB27,IN0020180561,BSE,12125.01,100.0,12125.01,12.125,79.1675,79.1675,79.1675,27881.255,27881.255,27881.255,40.7315,40.7315,40.7315
