DATE,SYMBOL,ISIN,EXCHANGE,CLOSE,DELIV_PER,DELIVERY_TURNOVER,ATW,EVER_100_DELIV,DELIV_PER_1W,DELIV_PER_1M,DELIV_PER_3M,DELIVERY_TURNOVER_1W,DELIVERY_TURNOVER_1M,DELIVERY_TURNOVER_3M,ATW_1W,ATW_1M,ATW_3M,MOMENTUM_RAW,FOOTPRINT_RAW,STABILITY_RAW,HASMOMENTUMDATA,HASFOOTPRINTDATA,HASSTABILITYHISTORY20D,MOMENTUM_SCORE,FOOTPRINT_SCORE,STABILITY_SCORE,TRIGGER_COUNT_30D,AI_SCORE,COMBINED_SCORE,SIS,Whale_Density,Implied_Trades,AI_WIN_PROBABILITY,ATR14,STOP_LOSS,TAKE_PROFIT,CHANDELIER_EXIT,REC_POS_SIZE_INR
2026-07-15,ETERNAL,,NSE,328.0,68.56,7118103480.0,64172.7342563296,,56.85,48.322272727272725,51.384393939393945,4857488429.19,4719968583.229546,4490968856.057726,57803.182346068,54980.68623688829,49841.11226891156,1.3342572470712426,1.5849817062076963,1.2875461909857377,True,True,True,0.8960396039603961,0.806930693069307,0.7475247524752475,2,0.7188118811881189,3,0.7941700278402062,0.9015425869634813,110920.99413385856,74.4205219139219,6.885718209402902,314.2285635811942,355.5428728376116,,100000.0
2026-07-14,ETERNAL,,NSE,328.0,68.56,7118103480.0,64172.7342563296,,56.85,48.322272727272725,51.384393939393945,4857488429.19,4719968583.229546,4490968856.057726,57803.182346068,54980.68623688829,49841.11226891156,1.3342572470712426,1.5849817062076963,1.2875461909857377,True,True,True,0.8960396039603961,0.806930693069307,0.7475247524752475,1,0.8188118811881189,3,0.7941700278402062,0.9015425869634813,110920.99413385856,74.4205219139219,6.885718209402902,314.2285635811942,355.5428728376116,,100000.0
2026-08-20,STEELCAS,,NSE,356.05,68.94,11935864.15,14901.14699312715,,61.470000000000006,53.25772727272727,47.74772727272728,23607966.500000004,23737844.57272728,17488215.72651515,15569.589416947989,10766.009195494737,9569.493504602084,1.4438383549907179,0.6825089727080146,1.5571510640517192,,,,0.9504950495049505,0.5247524752475248,0.8712871287128713,1,0.8702970297029704,2,0.774430483648771,124.84347011545995,801.0030473161008,56.31742077406139,12.674296234197767,330.7014075316045,406.7471849367911,,100000.0
2026-07-15,ENDURANCE,,NSE,3029.5,59.71,490800206.5,33838.66027425465,,55.542,56.3659090909091,56.92924242424243,286944328.28,254226454.7863636,217384999.14090908,26011.73271963488,21730.88922884077,19877.196207274246,1.04884585596687,2.2577464334687742,1.702385986504026,True,True,True,0.42574257425742573,0.8415841584158416,0.8811881188118812,1,0.8554455445544555,2,0.7684053021984729,6.894589657075594,14504.126419963906,64.86246968180772,83.68573869977679,2862.1285226004466,3364.2429547991073,,100000.0
2026-08-20,TIERRA,,BSE,40.6,62.7,8139528.600000001,50121.10038610039,,81.72,77.78227272727273,75.79999999999998,2079127.714,748986.6845454547,343851.4542424242,20383.688817645874,13172.78470530854,7865.049313605106,0.8271767810026387,23.671642215191625,6.3726365071100055,,,,0.0891089108910891,1.0,0.9900990099009901,1,0.9029702970297029,3,0.7666910250642327,615.7739944067571,162.3972446194988,60.730136294464344,5.132857458932059,30.334285082135885,61.13142983572824,,59323.681289866596
2026-08-17,KNAGRI,,NSE,213.7,83.01,2582991.9,9875.43117834395,,81.50399999999999,73.58272727272727,60.418787878787874,9790819.476,3229249.913636364,1939696.703787879,25329.14419959944,12154.420337446909,8135.808312825786,1.373910383083729,1.3316473111264668,1.2138229907378368,,,,0.9306930693069307,0.7821782178217822,0.693069306930693,1,0.7871287128712872,1,0.7650839065725192,382.32528636051666,261.55737945542063,39.929357763503745,9.104997907366071,195.49000418526785,250.11999162946427,,100000.0
2026-08-20,WONDERLA,,NSE,519.2,60.84,162137852.8,11943.484491004328,,72.538,62.63727272727272,60.93015151515152,75302571.31000002,46317636.1,24477945.193181816,12013.06832171314,8935.550232958034,8392.525214781144,0.9985204120963149,6.623834293295277,1.4231097536614055,,,,0.31683168316831684,0.9702970297029703,0.8118811881188119,1,0.8158415841584159,3,0.7431325882606643,7.366253027747217,13575.422894559795,64.29372652967267,18.067174084361564,483.0656518312769,591.4686963374463,,100000.0
2026-08-14,DISAQ,,NSE,11836.0,38.42,1668876.0,18025.658333333333,,50.27,36.27272727272728,26.758333333333333,3580137.8,2497902.636363636,1716179.7878787878,22509.07843474873,18866.574994098053,16087.256400959412,1.4358143880411087,0.9724365779081597,1.1204930091285372,,,,0.9405940594059405,0.7128712871287128,0.6336633663366337,1,0.7455445544554455,1,0.715084979817803,1080.1077092206572,92.58335918383008,65.869672902366,406.2877763775919,11023.424447244815,13461.151105510367,,100000.0
2026-08-17,MOCAPITAL,,NSE,54.44,78.44,38059058.44,19900.382329778506,,64.8,66.78954545454546,63.92409090909091,39629507.922000006,44688078.88181818,35697299.121818185,20245.258260443145,20013.924440362207,15999.249647559627,1.2270804149808368,1.066160728578435,1.2438322276453708,,,,0.7029702970297029,0.7326732673267327,0.7029702970297029,1,0.7653465346534654,0,0.7118273216413125,52.288162517607745,1912.4787559005456,18.595170901486252,,,,,
2026-08-13,HIMTEK,,BSE,265.15,100.0,2801840.05,33334.81176470588,,100.0,78.66227272727274,73.38848484848485,6389872.96,8348469.09318182,3982778.008333333,63142.71061682736,40239.94051445825,26063.180418703974,1.3626115896309388,0.7034888824176474,1.2790001538255669,,,,0.9207920792079208,0.5445544554455446,0.7326732673267327,1,0.7861386138613862,1,0.7088162923310073,1189.7471365185847,84.05147356993695,65.93414066848295,16.160716465541295,232.82856706891738,329.7928658621652,,100000.0
2026-07-06,AVALON,,NSE,2183.8,38.35,372252731.8,32905.88569683396,,38.23199999999999,38.87863636363636,39.65060606060607,609836836.8399999,380250907.21818185,305837766.9499999,28621.276057149487,21887.7513402738,21165.977676069448,0.9671983308749912,1.2171574999135342,1.5546593783871283,True,True,True,0.24752475247524752,0.7425742574257426,0.8613861386138614,1,0.8158415841584159,1,0.6845560284309704,8.83966265008185,11312.64890511111,42.92333645208365,117.25,1949.3000000000002,2652.8,,100000.0
2026-08-06,SUDARSCHEM,,NSE,1215.1,44.09,414112155.5,28363.938178058863,,48.226,49.4390909090909,47.93287878787879,715643015.62,275192074.9772727,180038111.99015152,28750.36644210581,21711.14873507558,18955.38875533461,0.9198279159304203,2.300136070759578,1.4963522270191587,True,True,True,0.16831683168316833,0.8514851485148515,0.8415841584158416,1,0.806930693069307,2,0.6840848995597519,6.849337263189528,14599.952689938507,62.40536999417448,55.01101869533308,1105.0779626093338,1435.1440747813322,,100000.0
2026-07-24,PIDILITIND,,NSE,1649.0,62.56,756157195.0,51214.31000423728,,64.964,60.21227272727273,60.17045454545455,758176640.4,1135378036.55,933936172.371212,45173.836304801225,45724.78651478965,37239.594132312544,1.0397129367327669,0.8096454740372234,1.3752649887179884,True,True,True,0.40594059405940597,0.6534653465346535,0.801980198019802,1,0.7871287128712872,2,0.6710403256086002,6.772971326978815,14764.56863203738,62.40536999417448,30.078578404017858,1588.8428431919642,1769.3143136160713,,100000.0
2026-08-13,TPINDIA,,BSE,24.27,87.25,8072517.51,43539.43601895735,,90.344,93.35636363636364,81.32651515151514,12694845.016,6410413.3181818165,3784773.2481818185,46938.318586820205,67007.84125219668,37852.05872880617,1.072835837579529,2.132893301832015,1.1502527862724403,,,,0.45544554455445546,0.8217821782178217,0.6534653465346535,1,0.7198019801980198,1,0.659379328580572,539.3538752318835,185.40702976688016,60.959601450744074,1.8228567668369837,20.624286466326033,31.561427067347935,,99856.99552019619
2026-08-20,NATFIT,,BSE,170.6,84.4,5558830.399999999,26063.195219123507,,88.324,88.02727272727272,78.05606060606061,5834845.51,2465195.4,2107318.011363636,31992.547964993097,26192.007307756638,23721.43980669192,1.0812741425160626,2.637869733008596,1.0987189408195606,,,,0.46534653465346537,0.8712871287128713,0.6039603960396039,1,0.696039603960396,2,0.6497837356937539,468.86113343417543,213.28276726106418,39.72188297133887,10.21071297781808,150.17857404436384,211.44285191127233,,100000.0
2026-08-14,KTKBANK,,NSE,328.3,54.66,615794279.8000001,28007.99915210626,,58.91199999999999,53.974545454545456,51.12151515151516,769458536.6899999,599484474.4590908,401871693.3181818,27242.242676793387,27819.0061067356,24591.37500635638,1.0692171356423492,1.5323156371514952,1.138935872632854,,,,0.44554455445544555,0.7920792079207921,0.6435643564356436,1,0.7099009900990099,3,0.6440189298227605,4.548272056246252,21986.371695305163,38.897648817039965,10.571426391601562,307.1571472167969,370.58570556640626,,100000.0
2026-07-13,TBOTEK,,NSE,1696.5,53.19,142044552.0,21676.16937647346,,45.61,45.34636363636364,47.78257575757576,188605373.64,237939499.8727272,181740351.0712121,21968.99778912428,22073.41428235095,18704.668168940072,1.1131672823553658,0.7815796060850684,1.1588641498846632,True,True,True,0.5445544554455446,0.594059405940594,0.6732673267326733,1,0.7178217821782178,1,0.6229108397517908,15.260120202620271,6553.028329542862,23.29239483090857,61.52858189174107,1573.442836216518,1942.6143275669642,,100000.0
2026-08-06,GREENPLY,,NSE,293.5,47.88,29893855.5,17259.849986149584,,60.658,54.84727272727272,50.224848484848486,18518758.110000003,34747527.33409091,33478384.473181818,11395.627328628005,12862.45043811905,12973.638094092004,0.9533129804153444,0.8929300493560781,1.3303785615855475,True,True,True,0.2079207920792079,0.6831683168316832,0.7821782178217822,1,0.7584158415841584,2,0.6207704922322665,57.73711586365828,1731.9881414953638,16.34175089581165,8.989286150251116,275.5214276994978,329.4571446010045,,100000.0
2026-07-22,ANTHEM,,NSE,871.45,55.02,374576224.9500001,17856.979167100468,,57.9,57.98681818181817,56.71924242424243,219471494.68,364558050.84545445,297825877.6166667,17226.54915666769,17626.60488827108,15015.333790134122,0.9700411650153467,1.25770207729269,1.1892495642576697,True,True,True,0.26732673267326734,0.7524752475247525,0.6831683168316832,1,0.7118811881188118,2,0.6096707810067237,4.767248420394029,20976.46088091517,36.855897883580305,24.342864990234375,822.7642700195313,968.8214599609375,,100000.0
2026-07-17,CAPITALSFB,,NSE,284.7,82.4,3544799.7,12489.22122093023,,70.542,61.54454545454546,61.122424242424245,4058779.63,6566276.331818182,8010989.268181818,8820.930605852596,9934.029502696574,9983.746006571242,1.348114068139452,0.4424921294151891,1.2509554242175132,True,True,True,0.9108910891089109,0.27722772277227725,0.7128712871287128,1,0.7465346534653465,2,0.6032086694696446,352.3251601756294,283.82872216719164,33.640339710662545,7.550007411411831,269.59998517717634,314.9000296456473,,100000.0
2026-08-18,SOFTTECH,,NSE,416.2,71.37,488618.8,13485.222549019609,,81.32000000000001,73.51,70.88742424242425,2650265.1499999994,1331162.0563636364,896127.3362121213,20866.079418366884,13453.094263130082,8769.006162319482,1.0068076356664537,0.5452559923742127,1.5378279247841975,,,,0.3564356435643564,0.39603960396039606,0.8514851485148515,1,0.7861386138613862,2,0.5984876186221899,2759.8656762735304,36.23364747773652,67.61863714248582,15.0,386.2,476.2,,100000.0
2026-07-14,BAJAJFINSV,,NSE,2032.5,60.51,1020802800.0,36328.41864421454,,59.648,57.35045454545455,55.53818181818182,927435805.4599998,1547649862.827273,1273512095.7469697,31863.891017129947,37218.13311064429,33393.42749166287,1.089520722844235,0.801565060441185,1.0878912819980646,True,True,True,0.48514851485148514,0.6435643564356436,0.594059405940594,1,0.6693069306930692,1,0.5861426477091565,3.5588086792291844,28099.29080583769,54.96299043164654,35.557137625558035,1961.3857247488838,2174.7285505022323,,100000.0
2026-08-05,SMCGLOBAL,,NSE,81.13,65.98,20943466.11,15121.963719714964,,60.726,60.096818181818186,57.52045454545454,27137158.728,31760658.21772727,28189459.21212121,20750.15762821811,16943.4563251846,14096.327292843554,1.1470702121774865,0.7429538095216278,1.0727591241012193,True,True,True,0.5841584158415841,0.5742574257425742,0.5841584158415841,1,0.6663366336633663,1,0.5811815981775283,72.203729985719,1384.9700011312264,16.161078626904086,2.1864286150251115,76.75714276994977,89.87571446010044,,100000.0
2026-08-06,SUNDRMFAST,,NSE,1228.0,55.84,94750024.0,15189.896758676496,,57.19200000000001,60.29681818181818,61.12757575757576,138086903.83,179786823.05454543,99114729.55,14100.432026037268,17462.854491386242,11909.38966079689,0.9134993381948334,0.9559630988268182,1.2754555179832865,True,True,True,0.13861386138613863,0.7029702970297029,0.7227722772277227,1,0.7178217821782178,0,0.5803429832429006,16.031549246548472,6237.700328402734,22.546190926353255,39.65356881277902,1148.692862374442,1386.6142752511162,,100000.0
