symbol,entry_date,entry_price,exit_date,exit_price,return_pct,days_held,exit_reason,pnl,patch1_capped,YM
DSSL,2023-08-23,715.0,2023-08-24,657.0142857142857,-8.568766346153815,1,SL,-4104.8675181249855,True,2023-08
AAVAS,2023-06-27,1477.0,2023-08-30,1640.5428571428572,10.517968601895756,64,TP,4194.460698750008,True,2023-06
PFC,2023-08-31,274.0,2023-09-01,256.8,-6.745399635036482,1,GAP_DOWN_SL,-1996.098659999996,True,2023-08
ULTRACEMCO,2023-08-16,8004.95,2023-09-04,8468.464285714286,5.262055255654341,19,TP,2527.3493531250133,True,2023-08
DMART,2023-08-25,3554.0,2023-09-04,3771.95,5.602527425084423,10,GAP_UP_TP,2389.365896250005,True,2023-08
INDUSTOWER,2023-07-07,165.9,2023-09-06,186.82857142857142,12.052800632911403,61,TP,3739.176498750003,True,2023-07
PRIMESECU,2023-08-21,144.75,2023-09-08,162.85,11.942499352331602,18,TP,6586.258536562498,True,2023-08
MARATHON,2023-08-25,366.8,2023-09-11,424.02857142857147,15.024830629771015,17,TP,5841.77434750001,True,2023-08
ELECON,2023-09-01,885.0,2023-09-11,834.1571428571428,-6.21564173728813,10,SL,-1650.2528812499986,True,2023-09
ASHOKLEY,2023-08-29,188.1,2023-09-12,179.44285714285712,-5.07880681818181,14,SL,-1604.9435849999973,True,2023-08
SWANENERGY,2023-09-05,305.0,2023-09-12,279.42857142857144,-8.841581967213106,7,SL,-2157.3459999999977,True,2023-09
SPANDANA,2023-08-01,838.0,2023-09-13,741.0,-12.016750447494015,43,GAP_DOWN_SL,-5337.119543749992,True,2023-08
CRAFTSMAN,2023-08-16,4790.8,2023-09-13,4542.614285714286,-5.653969991963762,28,SL,-2708.703943749999,True,2023-08
FINEORG,2023-09-12,5028.0,2023-09-13,4861.521428571428,-3.793870208084723,1,SL,-1144.5347643749992,True,2023-09
JBCHEPHARM,2023-08-31,2774.35,2023-09-18,1478.0,-46.9922959431939,18,GAP_DOWN_SL,-14341.038387499999,True,2023-08
STARHEALTH,2023-07-18,634.0,2023-09-22,599.5357142857142,-5.908236149447954,66,SL,-2322.4094656250018,True,2023-07
BERGEPAINT,2023-09-01,719.65,2023-09-22,626.8,-13.337050302230246,21,GAP_DOWN_SL,-2879.402474999999,True,2023-09
TTKPRESTIG,2023-09-13,809.0,2023-09-22,773.0785714285714,-4.917427649876384,9,SL,-1790.1895359374976,True,2023-09
LUPIN,2023-09-18,1145.5,2023-09-22,1102.2714285714285,-4.254302869925799,4,SL,-1072.1268662500006,True,2023-09
KEI,2023-08-22,2550.0,2023-09-25,2371.8785714285714,-7.449646948529412,34,SL,-3609.3539465625,True,2023-08
VENUSPIPES,2023-09-21,1509.0,2023-09-25,1420.0928571428572,-6.361744967693818,4,SL,-863.9885840624975,True,2023-09
HESTERBIO,2023-09-04,1727.95,2023-09-26,1658.142857142857,-4.519082945108348,22,SL,-1171.3124062499955,True,2023-09
UPL,2023-09-18,634.65,2023-09-27,610.8071428571428,-4.237465581422821,9,SL,-1183.2953137499971,True,2023-09
MARICO,2023-09-20,582.0,2023-09-28,562.2357142857143,-3.8783419780927724,8,SL,-880.3060621874974,True,2023-09
ICICISILVE,2023-09-22,74.0,2023-09-28,72.05142857142857,-3.119430067567534,6,SL,-740.989418249992,True,2023-09
MGL,2023-09-01,1023.75,2023-10-03,1094.3214285714287,6.359625000000019,32,TP,1497.4532015625045,True,2023-09
METROBRAND,2023-09-20,1099.95,2023-10-03,1263.6642857142858,14.31009247579437,13,TP,2518.461795000003,True,2023-09
TVSSRICHAK,2023-09-25,3001.0,2023-10-03,3385.6,12.252354548483856,8,TP,3309.2384400000046,True,2023-09
