DATE,SYMBOL,ISIN,EXCHANGE,CLOSE,DELIV_PER,DELIVERY_TURNOVER,ATW,EVER_100_DELIV,DELIV_PER_1W,DELIV_PER_1M,DELIV_PER_3M,DELIVERY_TURNOVER_1W,DELIVERY_TURNOVER_1M,DELIVERY_TURNOVER_3M,ATW_1W,ATW_1M,ATW_3M,MOMENTUM_RAW,FOOTPRINT_RAW,STABILITY_RAW,HASMOMENTUMDATA,HASFOOTPRINTDATA,HASSTABILITYHISTORY20D,MOMENTUM_SCORE,FOOTPRINT_SCORE,STABILITY_SCORE,COMBINED_SCORE,TRIGGER_COUNT_30D,REPEAT_FLAG,AI_SCORE
2026-07-21,THERMAX,,NSE,3991.0,50.9,374295935.0,26022.222766032417,,43.482,48.976818181818174,46.64545454545455,1443535442.04,685922901.0545455,669065612.0833334,34908.65577701601,32855.16273596812,33676.973797024766,1.0912102903917364,0.5594308364384758,0.7727007457045141,True,True,True,0.48,0.3466666666666667,0.3333333333333333,0.3973333333333333,1,False,0.4826666666666667
2026-07-21,IPCALAB,,NSE,1734.2,51.4,135461830.4,18460.07003123916,,55.356,53.77727272727273,52.031666666666666,183040721.02,238387042.4590909,251401008.580303,14556.02715645248,18084.557180921867,18111.98898839324,0.9878599570774208,0.5388277126053396,1.0192182671416696,True,True,True,0.3466666666666667,0.30666666666666664,0.6533333333333333,0.392,1,False,0.6573333333333333
2026-07-21,HCG,,NSE,678.5,56.56,64126392.0,7604.201316055882,,62.456,64.35909090909092,60.4789393939394,45488082.17999999,118890689.8340909,82222340.30984847,7062.11647708652,13918.150961492183,11374.301580749749,0.9352015853252196,0.7799144582645628,0.6685422627553228,True,True,True,0.23333333333333334,0.54,0.16666666666666666,0.3426666666666667,2,True,0.2773333333333333
2026-07-21,JSWCEMENT,,NSE,132.62,47.87,72549373.14,13137.481425605536,,59.186,59.58863636363637,49.58303030303031,71465051.32,174958184.44545454,161056952.2568182,8564.145989944125,13771.721830554028,14577.1487979055,0.9654512785410451,0.45045787917502755,0.9012380684138437,True,True,True,0.2866666666666667,0.24666666666666667,0.5266666666666666,0.3186666666666667,2,True,0.46933333333333327
2026-07-21,PANORAMA,,BSE,48.58,36.96,3066855.4,11533.029166666667,,47.298,58.960000000000015,41.62015151515152,10658377.0,10658801.052727273,6982753.135909092,23186.05820166124,33329.769585197006,24624.820475967503,0.8880313659248688,0.43920432819378524,0.46834977651602705,True,True,True,0.16666666666666666,0.19333333333333333,0.06,0.15600000000000003,4,True,0.12200000000000001
2026-07-20,ASHIKA,,NSE,399.25,56.52,40743462.5,52859.48255899704,,47.292,37.50954545454545,34.61818181818182,48122259.73,31044330.99090909,18937397.506060604,71901.06019598272,50978.00587485615,36232.30984756396,1.632668067226891,2.1514816112911355,1.4589045738841016,True,True,True,0.9733333333333334,0.8533333333333334,0.7866666666666666,0.8880000000000001,1,False,0.8546666666666667
2026-07-20,OFSS,,NSE,11735.0,53.2,1410511795.0,95685.5409711958,,35.274,35.80318181818182,37.05772727272726,935238267.8,1575688523.6818182,1276563920.9015152,79164.00723376912,81926.29743141303,73270.64107447256,1.4355980227409328,1.1049284504326977,1.3059192545338951,True,True,True,0.92,0.6666666666666666,0.76,0.7866666666666667,1,False,0.8146666666666667
2026-07-20,CEMPRO,,NSE,1245.8,59.54,306466800.0,25420.11063176368,,49.684000000000005,54.995909090909095,45.14954545454545,351643310.3,546309246.0272727,434082967.7060606,31499.13566097976,42824.738975432905,34568.94690693327,1.3187286693714826,0.7060097327005102,0.7353452420809884,True,True,True,0.84,0.4533333333333333,0.26666666666666666,0.5706666666666668,3,True,0.356
2026-07-17,CAPITALSFB,,NSE,295.85,67.87,5426480.7,17839.561049107142,,58.176,63.08545454545455,59.28757575757576,5158392.35,13409856.529545456,10077242.98409091,9646.75610863446,12333.8194744237,10345.848510744914,1.1447592372054036,0.5384886231846214,1.7243207292837763,True,True,True,0.6,0.29333333333333333,0.8133333333333334,0.52,1,False,0.7773333333333334
2026-07-17,JSWCEMENT,,NSE,132.62,47.87,72549373.14,13137.481425605536,,59.186,59.58863636363637,49.58303030303031,71465051.32,174958184.44545454,161056952.2568182,8564.145989944125,13771.721830554028,14577.1487979055,0.9654512785410451,0.45045787917502755,0.9012380684138437,True,True,True,0.2866666666666667,0.24666666666666667,0.5266666666666666,0.3186666666666667,2,True,0.46933333333333327
