DATE,SYMBOL,ISIN,EXCHANGE,CLOSE,DELIV_PER,DELIVERY_TURNOVER,ATW,EVER_100_DELIV,DELIV_PER_1W,DELIV_PER_1M,DELIV_PER_3M,DELIVERY_TURNOVER_1W,DELIVERY_TURNOVER_1M,DELIVERY_TURNOVER_3M,ATW_1W,ATW_1M,ATW_3M,MOMENTUM_RAW,FOOTPRINT_RAW,STABILITY_RAW,HASMOMENTUMDATA,HASFOOTPRINTDATA,HASSTABILITYHISTORY20D
2026-08-12,HINDPETRO,,NSE,390.0,65.06,2667524340.0,59839.60346480317,,,,,,,,,,,1.299597163498352,1.9750799015681115,1.5901938532301774,,,
2026-08-12,NIYOGIN,,BSE,55.02,81.22,12260381.7,25377.65410958904,,,,,,,,,,,1.1026564036318307,5.990400208144957,2.207629076643142,,,
2026-08-12,RPPINFRA,,NSE,58.78,96.02,68647045.92,45837.13578235673,,,,,,,,,,,1.5746498401079363,15.469313748923309,7.699119207613314,,,
2026-08-11,RPPINFRA,,NSE,58.56,96.28,51836433.6,43231.07881977672,,,,,,,,,,,1.59290491421925,14.100956781356192,8.07439693065358,True,True,True
2026-08-11,STYLEBAAZA,,NSE,353.45,71.61,432668395.05,172648.48572654463,,,,,,,,,,,1.4884780000188962,3.4648341643792766,7.759995294388934,True,True,True
2026-08-07,PAYTM,,NSE,1441.6,53.54,2358515264.0,64877.482136422885,,,,,,,,,,,1.4314754124924551,1.7425782968435963,1.3447268986166994,True,True,True
2026-08-07,RPPINFRA,,NSE,57.86,97.74,41641668.42,48585.84355990784,,,,,,,,,,,1.6323967042532943,13.698459406514814,10.411025700587222,True,True,True
2026-08-06,APOLLOPIPE,,NSE,527.25,70.45,308050030.5,50317.391625,,,,,,,,,,,1.6942254157496608,5.562419283555537,3.305612973910373,True,True,True
2026-08-06,GREENPLY,,NSE,286.85,77.32,83720901.55000001,25459.79864457832,,,,,,,,,,,1.6777638232257803,2.339462954374244,1.8771328690575644,True,True,True
2026-08-06,ICICIPRULI,,NSE,507.0,66.64,1038078444.0,58714.70141839964,,,,,,,,,,,1.2338352002558428,1.9889273608074585,2.257750983392549,True,True,True
2026-08-06,INDOSTAR,,NSE,233.4,71.38,34888865.4,21722.754024010672,,,,,,,,,,,1.4098023138200773,1.9692682582520664,2.086465504530961,True,True,True
2026-08-06,SHANKARA,,NSE,140.99,84.58,78396220.59,44356.58054092868,,,,,,,,,,,1.5528072635022363,5.13507426349989,3.5261588058276123,True,True,True
2026-08-06,SUDARSCHEM,,NSE,1115.6,61.26,354302288.4,28254.8406720628,,,,,,,,,,,1.3182354667275276,3.063145292942398,1.64429619899462,True,True,True
2026-08-06,SUNDRMFAST,,NSE,1085.25,73.13,555191109.75,33237.08077809798,,,,,,,,,,,1.1992307558519453,7.662501381216758,3.152798059643552,True,True,True
2026-08-05,SMCGLOBAL,,NSE,79.8,68.55,67402351.8,32664.485451817272,,,,,,,,,,,1.2399520934451884,2.718846763583896,2.706651483183377,True,True,True
2026-08-05,THYROCARE,,NSE,600.0,68.29,241473000.0,23712.2057208314,,,,,,,,,,,1.522394411868025,1.877358410905401,2.010952590325941,True,True,True
2026-08-03,SHANKARA,,NSE,141.92,88.87,76804407.52,61310.48155917789,,,,,,,,,,,1.6803038940725186,5.672720133108434,5.605216926445506,True,True,True
2026-07-31,AGRIBIO,,BSE,316.9,60.42,6258458.1,98302.58490566038,,,,,,,,,,,1.6078608465651136,4.203697322898174,1.9472522305093456,True,True,True
2026-07-31,ANANTRAJ,,NSE,624.5,55.83,1424190985.0,58553.27783086204,,,,,,,,,,,1.5712409493676285,2.569032330967054,1.8752847185524235,True,True,True
2026-07-31,EMIL,,NSE,130.16,60.9,432944830.16,26384.55507963887,,,,,,,,,,,1.353087317457432,5.541000760058584,2.4084538666938653,True,True,True
2026-07-31,HEROMOTOCO,,NSE,5386.0,57.44,2380525824.0,70136.5727591072,,,,,,,,,,,1.1402035562185704,1.3383250205298065,1.2683038028344036,True,True,True
2026-07-31,KINETICENG,INE266B01017,BSE,267.15,100.0,9534583.5,38631.68,True,93.736,81.18636363636364,71.13742424242425,7927417.790000001,7445661.68409091,4667510.46439394,33069.0118855078,26307.115363518395,21298.596204197387,1.4057298400236844,2.042755677300454,1.8138134377319528,,,
2026-07-30,ANANTRAJ,,NSE,609.6,61.51,1131858340.8,66201.9102433055,,,,,,,,,,,1.7536101044046943,2.046945641940098,2.164187620044105,True,True,True
2026-07-30,SHANKARA,,NSE,139.31,71.38,42196023.83,47018.3996842936,,,,,,,,,,,1.3704880262514836,3.25513972925554,4.642458571921358,True,True,True
2026-07-24,PIDILITIND,,NSE,1570.9,66.57,2300546919.3,64746.52996388534,,,,,,,,,,,1.1359040318514977,2.759245124992313,1.930038002224244,True,True,True
2026-07-23,KRISHIVAL,,NSE,391.15,95.5,47894752.9,89396.88901785715,,,,,,,,,,,1.100207368928175,17.41845719742406,5.582037384652109,True,True,True
2026-07-23,PANORAMA,,BSE,50.84,82.01,27180792.56,58006.192708333336,,,,,,,,,,,2.262354283612471,4.939426796531517,2.527043849930376,True,True,True
2026-07-23,VRLLOG,,NSE,241.4,88.29,177468589.6,37367.3752982717,,,,,,,,,,,1.5789610593715198,7.701492649564591,5.410549888143124,True,True,True
